disease type,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Females,Nepean Blue Mountains,2017/2018,387.5
Influenza and pneumonia,Females,Nepean Blue Mountains,2018/2019,371.4
Influenza and pneumonia,Females,Nepean Blue Mountains,2019/2020,354.6
Influenza and pneumonia,Females,Nepean Blue Mountains,2020/2021,181.4
Influenza and pneumonia,Females,Nepean Blue Mountains,2021/2022,303.3
Influenza and pneumonia,Females,Northern Sydney,2001/2002,186.8
Influenza and pneumonia,Females,Northern Sydney,2002/2003,179.8
Influenza and pneumonia,Females,Northern Sydney,2003/2004,204.1
Influenza and pneumonia,Females,Northern Sydney,2004/2005,199.4
Influenza and pneumonia,Females,Northern Sydney,2005/2006,191.7
Influenza and pneumonia,Females,Northern Sydney,2006/2007,164.1
Influenza and pneumonia,Females,Northern Sydney,2007/2008,197.3
Influenza and pneumonia,Females,Northern Sydney,2008/2009,208.1
Influenza and pneumonia,Females,Northern Sydney,2009/2010,200.7
Influenza and pneumonia,Females,Northern Sydney,2010/2011,217.9
Influenza and pneumonia,Females,Northern Sydney,2011/2012,237.6
Influenza and pneumonia,Females,Northern Sydney,2012/2013,199.5
Influenza and pneumonia,Females,Northern Sydney,2013/2014,197.6
Influenza and pneumonia,Females,Northern Sydney,2014/2015,264.6
Influenza and pneumonia,Females,Northern Sydney,2015/2016,274.2
Influenza and pneumonia,Females,Northern Sydney,2016/2017,262
Influenza and pneumonia,Females,Northern Sydney,2017/2018,306.8
Influenza and pneumonia,Females,Northern Sydney,2018/2019,304.1
Influenza and pneumonia,Females,Northern Sydney,2019/2020,291.4
Influenza and pneumonia,Females,Northern Sydney,2020/2021,137.1
Influenza and pneumonia,Females,Northern Sydney,2021/2022,196.5
Influenza and pneumonia,Females,Central Coast,2001/2002,198.1
Influenza and pneumonia,Females,Central Coast,2002/2003,213.2
Influenza and pneumonia,Females,Central Coast,2003/2004,217.8
Influenza and pneumonia,Females,Central Coast,2004/2005,190.7
Influenza and pneumonia,Females,Central Coast,2005/2006,208.5
Influenza and pneumonia,Females,Central Coast,2006/2007,215.2
Influenza and pneumonia,Females,Central Coast,2007/2008,198
Influenza and pneumonia,Females,Central Coast,2008/2009,241.2
Influenza and pneumonia,Females,Central Coast,2009/2010,221.4
Influenza and pneumonia,Females,Central Coast,2010/2011,251.1
Influenza and pneumonia,Females,Central Coast,2011/2012,241.4
Influenza and pneumonia,Females,Central Coast,2012/2013,217.2
Influenza and pneumonia,Females,Central Coast,2013/2014,206.7
Influenza and pneumonia,Females,Central Coast,2014/2015,269
Influenza and pneumonia,Females,Central Coast,2015/2016,299.2
Influenza and pneumonia,Females,Central Coast,2016/2017,260.2
Influenza and pneumonia,Females,Central Coast,2017/2018,343.2
Influenza and pneumonia,Females,Central Coast,2018/2019,338.3
Influenza and pneumonia,Females,Central Coast,2019/2020,333.2
Influenza and pneumonia,Females,Central Coast,2020/2021,181.6
Influenza and pneumonia,Females,Central Coast,2021/2022,247.2
Influenza and pneumonia,Females,Hunter New England,2001/2002,249.6
Influenza and pneumonia,Females,Hunter New England,2002/2003,277.4
Influenza and pneumonia,Females,Hunter New England,2003/2004,273.1
Influenza and pneumonia,Females,Hunter New England,2004/2005,272.5
Influenza and pneumonia,Females,Hunter New England,2005/2006,238.6
Influenza and pneumonia,Females,Hunter New England,2006/2007,227.3
Influenza and pneumonia,Females,Hunter New England,2007/2008,265.9
Influenza and pneumonia,Females,Hunter New England,2008/2009,229.7
Influenza and pneumonia,Females,Hunter New England,2009/2010,248.2
Influenza and pneumonia,Females,Hunter New England,2010/2011,270.2
Influenza and pneumonia,Females,Hunter New England,2011/2012,262.2
Influenza and pneumonia,Females,Hunter New England,2012/2013,228.4
Influenza and pneumonia,Females,Hunter New England,2013/2014,240.2
Influenza and pneumonia,Females,Hunter New England,2014/2015,317
Influenza and pneumonia,Females,Hunter New England,2015/2016,311.8
Influenza and pneumonia,Females,Hunter New England,2016/2017,344.4
Influenza and pneumonia,Females,Hunter New England,2017/2018,397.9
Influenza and pneumonia,Females,Hunter New England,2018/2019,341.2
Influenza and pneumonia,Females,Hunter New England,2019/2020,324.7
Influenza and pneumonia,Females,Hunter New England,2020/2021,188.6
Influenza and pneumonia,Females,Hunter New England,2021/2022,232.8
Influenza and pneumonia,Females,Northern NSW,2001/2002,288.3
Influenza and pneumonia,Females,Northern NSW,2002/2003,318.4
Influenza and pneumonia,Females,Northern NSW,2003/2004,257
Influenza and pneumonia,Females,Northern NSW,2004/2005,242.2
Influenza and pneumonia,Females,Northern NSW,2005/2006,251.2
Influenza and pneumonia,Females,Northern NSW,2006/2007,235.6
Influenza and pneumonia,Females,Northern NSW,2007/2008,278.8
Influenza and pneumonia,Females,Northern NSW,2008/2009,291.2
Influenza and pneumonia,Females,Northern NSW,2009/2010,265.5
Influenza and pneumonia,Females,Northern NSW,2010/2011,233.1
Influenza and pneumonia,Females,Northern NSW,2011/2012,269.2
Influenza and pneumonia,Females,Northern NSW,2012/2013,245.6
Influenza and pneumonia,Females,Northern NSW,2013/2014,224.4
Influenza and pneumonia,Females,Northern NSW,2014/2015,291.9
Influenza and pneumonia,Females,Northern NSW,2015/2016,303.2
Influenza and pneumonia,Females,Northern NSW,2016/2017,273.6
Influenza and pneumonia,Females,Northern NSW,2017/2018,360.3
Influenza and pneumonia,Females,Northern NSW,2018/2019,344.7
Influenza and pneumonia,Females,Northern NSW,2019/2020,384.9
Influenza and pneumonia,Females,Northern NSW,2020/2021,184.8
Influenza and pneumonia,Females,Northern NSW,2021/2022,270.3
Influenza and pneumonia,Females,Mid North Coast,2001/2002,301.8
Influenza and pneumonia,Females,Mid North Coast,2002/2003,332.7
Influenza and pneumonia,Females,Mid North Coast,2003/2004,365
Influenza and pneumonia,Females,Mid North Coast,2004/2005,337.4
Influenza and pneumonia,Females,Mid North Coast,2005/2006,280.8
Influenza and pneumonia,Females,Mid North Coast,2006/2007,278.4
Influenza and pneumonia,Females,Mid North Coast,2007/2008,339.7
Influenza and pneumonia,Females,Mid North Coast,2008/2009,357.1
Influenza and pneumonia,Females,Mid North Coast,2009/2010,319
Influenza and pneumonia,Females,Mid North Coast,2010/2011,292.9
Influenza and pneumonia,Females,Mid North Coast,2011/2012,300.6
Influenza and pneumonia,Females,Mid North Coast,2012/2013,329.4
Influenza and pneumonia,Females,Mid North Coast,2013/2014,277.9
Influenza and pneumonia,Females,Mid North Coast,2014/2015,342.3
Influenza and pneumonia,Females,Mid North Coast,2015/2016,357
Influenza and pneumonia,Females,Mid North Coast,2016/2017,298.1
Influenza and pneumonia,Females,Mid North Coast,2017/2018,355.3
Influenza and pneumonia,Females,Mid North Coast,2018/2019,342
Influenza and pneumonia,Females,Mid North Coast,2019/2020,340.8
Influenza and pneumonia,Females,Mid North Coast,2020/2021,242
Influenza and pneumonia,Females,Mid North Coast,2021/2022,293.6
Influenza and pneumonia,Females,Southern NSW,2001/2002,271.7
Influenza and pneumonia,Females,Southern NSW,2002/2003,299.9
Influenza and pneumonia,Females,Southern NSW,2003/2004,292.5
Influenza and pneumonia,Females,Southern NSW,2004/2005,275.5
Influenza and pneumonia,Females,Southern NSW,2005/2006,238.2
Influenza and pneumonia,Females,Southern NSW,2006/2007,249.4
Influenza and pneumonia,Females,Southern NSW,2007/2008,303.6
Influenza and pneumonia,Females,Southern NSW,2008/2009,317
Influenza and pneumonia,Females,Southern NSW,2009/2010,299.7
Influenza and pneumonia,Females,Southern NSW,2010/2011,395.2
Influenza and pneumonia,Females,Southern NSW,2011/2012,312.5
Influenza and pneumonia,Females,Southern NSW,2012/2013,296.5
Influenza and pneumonia,Females,Southern NSW,2013/2014,278.1
Influenza and pneumonia,Females,Southern NSW,2014/2015,315.1
Influenza and pneumonia,Females,Southern NSW,2015/2016,347.7
Influenza and pneumonia,Females,Southern NSW,2016/2017,391.4
Influenza and pneumonia,Females,Southern NSW,2017/2018,437.9
Influenza and pneumonia,Females,Southern NSW,2018/2019,380.4
Influenza and pneumonia,Females,Southern NSW,2019/2020,344.8
Influenza and pneumonia,Females,Southern NSW,2020/2021,237.7
Influenza and pneumonia,Females,Southern NSW,2021/2022,297.6
Influenza and pneumonia,Females,Murrumbidgee,2001/2002,332.3
Influenza and pneumonia,Females,Murrumbidgee,2002/2003,368
Influenza and pneumonia,Females,Murrumbidgee,2003/2004,401.5
Influenza and pneumonia,Females,Murrumbidgee,2004/2005,369.5
Influenza and pneumonia,Females,Murrumbidgee,2005/2006,357.2
Influenza and pneumonia,Females,Murrumbidgee,2006/2007,326.2
Influenza and pneumonia,Females,Murrumbidgee,2007/2008,401.7
Influenza and pneumonia,Females,Murrumbidgee,2008/2009,374.6
Influenza and pneumonia,Females,Murrumbidgee,2009/2010,352.8
Influenza and pneumonia,Females,Murrumbidgee,2010/2011,432.9
Influenza and pneumonia,Females,Murrumbidgee,2011/2012,345.9
Influenza and pneumonia,Females,Murrumbidgee,2012/2013,340.5
Influenza and pneumonia,Females,Murrumbidgee,2013/2014,342.3
Influenza and pneumonia,Females,Murrumbidgee,2014/2015,403.1
Influenza and pneumonia,Females,Murrumbidgee,2015/2016,436.5
Influenza and pneumonia,Females,Murrumbidgee,2016/2017,470.1
Influenza and pneumonia,Females,Murrumbidgee,2017/2018,498.9
Influenza and pneumonia,Females,Murrumbidgee,2018/2019,489.7
Influenza and pneumonia,Females,Murrumbidgee,2019/2020,479.1
Influenza and pneumonia,Females,Murrumbidgee,2020/2021,229.7
Influenza and pneumonia,Females,Murrumbidgee,2021/2022,339.8
Influenza and pneumonia,Females,Western NSW,2001/2002,438.9
Influenza and pneumonia,Females,Western NSW,2002/2003,465.9
Influenza and pneumonia,Females,Western NSW,2003/2004,478
Influenza and pneumonia,Females,Western NSW,2004/2005,404.8
Influenza and pneumonia,Females,Western NSW,2005/2006,457.2
Influenza and pneumonia,Females,Western NSW,2006/2007,344.8
Influenza and pneumonia,Females,Western NSW,2007/2008,444.3
Influenza and pneumonia,Females,Western NSW,2008/2009,437
Influenza and pneumonia,Females,Western NSW,2009/2010,407.6
Influenza and pneumonia,Females,Western NSW,2010/2011,492.6
Influenza and pneumonia,Females,Western NSW,2011/2012,427.3
Influenza and pneumonia,Females,Western NSW,2012/2013,369.9
Influenza and pneumonia,Females,Western NSW,2013/2014,386.1
Influenza and pneumonia,Females,Western NSW,2014/2015,398
Influenza and pneumonia,Females,Western NSW,2015/2016,451.6
Influenza and pneumonia,Females,Western NSW,2016/2017,489.1
Influenza and pneumonia,Females,Western NSW,2017/2018,477.5
Influenza and pneumonia,Females,Western NSW,2018/2019,464.6
Influenza and pneumonia,Females,Western NSW,2019/2020,437.9
Influenza and pneumonia,Females,Western NSW,2020/2021,289.2
Influenza and pneumonia,Females,Western NSW,2021/2022,353.6
Influenza and pneumonia,Females,Far West,2001/2002,368.9
Influenza and pneumonia,Females,Far West,2002/2003,408
Influenza and pneumonia,Females,Far West,2003/2004,394.3
Influenza and pneumonia,Females,Far West,2004/2005,315.8
Influenza and pneumonia,Females,Far West,2005/2006,322.3
Influenza and pneumonia,Females,Far West,2006/2007,328.6
Influenza and pneumonia,Females,Far West,2007/2008,204.2
Influenza and pneumonia,Females,Far West,2008/2009,353.8
Influenza and pneumonia,Females,Far West,2009/2010,273.4
Influenza and pneumonia,Females,Far West,2010/2011,328.8
Influenza and pneumonia,Females,Far West,2011/2012,302.7
Influenza and pneumonia,Females,Far West,2012/2013,358.7
Influenza and pneumonia,Females,Far West,2013/2014,327.8
Influenza and pneumonia,Females,Far West,2014/2015,342.6
Influenza and pneumonia,Females,Far West,2015/2016,290.2
Influenza and pneumonia,Females,Far West,2016/2017,381.1
Influenza and pneumonia,Females,Far West,2017/2018,390.5
Influenza and pneumonia,Females,Far West,2018/2019,489.9
Influenza and pneumonia,Females,Far West,2019/2020,507.4
Influenza and pneumonia,Females,Far West,2020/2021,334.3
Influenza and pneumonia,Females,Far West,2021/2022,463.7
Other acute respiratory infections,Males,Sydney,2001/2002,238.5
Other acute respiratory infections,Males,Sydney,2002/2003,232.7
Other acute respiratory infections,Males,Sydney,2003/2004,242.7
Other acute respiratory infections,Males,Sydney,2004/2005,211.4
Other acute respiratory infections,Males,Sydney,2005/2006,214
Other acute respiratory infections,Males,Sydney,2006/2007,254.9
Other acute respiratory infections,Males,Sydney,2007/2008,264.5
Other acute respiratory infections,Males,Sydney,2008/2009,275.9
Other acute respiratory infections,Males,Sydney,2009/2010,272.1
Other acute respiratory infections,Males,Sydney,2010/2011,260.9
Other acute respiratory infections,Males,Sydney,2011/2012,276.8
Other acute respiratory infections,Males,Sydney,2012/2013,269.1
Other acute respiratory infections,Males,Sydney,2013/2014,294.1
Other acute respiratory infections,Males,Sydney,2014/2015,275.9
Other acute respiratory infections,Males,Sydney,2015/2016,313.9
Other acute respiratory infections,Males,Sydney,2016/2017,281.7
Other acute respiratory infections,Males,Sydney,2017/2018,302.4
Other acute respiratory infections,Males,Sydney,2018/2019,321.4
Other acute respiratory infections,Males,Sydney,2019/2020,235
Other acute respiratory infections,Males,Sydney,2020/2021,208
Other acute respiratory infections,Males,Sydney,2021/2022,172.2
Other acute respiratory infections,Males,South Western Sydney,2001/2002,252.7
Other acute respiratory infections,Males,South Western Sydney,2002/2003,259.3
Other acute respiratory infections,Males,South Western Sydney,2003/2004,282.6
Other acute respiratory infections,Males,South Western Sydney,2004/2005,274.9
Other acute respiratory infections,Males,South Western Sydney,2005/2006,294.4
Other acute respiratory infections,Males,South Western Sydney,2006/2007,328
Other acute respiratory infections,Males,South Western Sydney,2007/2008,365.8
Other acute respiratory infections,Males,South Western Sydney,2008/2009,331.8
Other acute respiratory infections,Males,South Western Sydney,2009/2010,343.1
Other acute respiratory infections,Males,South Western Sydney,2010/2011,373.6
Other acute respiratory infections,Males,South Western Sydney,2011/2012,422.4
Other acute respiratory infections,Males,South Western Sydney,2012/2013,427.3
Other acute respiratory infections,Males,South Western Sydney,2013/2014,428.3
Other acute respiratory infections,Males,South Western Sydney,2014/2015,441.7
Other acute respiratory infections,Males,South Western Sydney,2015/2016,421.7
Other acute respiratory infections,Males,South Western Sydney,2016/2017,464.7
Other acute respiratory infections,Males,South Western Sydney,2017/2018,484.5
Other acute respiratory infections,Males,South Western Sydney,2018/2019,519.5
Other acute respiratory infections,Males,South Western Sydney,2019/2020,416.7
Other acute respiratory infections,Males,South Western Sydney,2020/2021,350.4
Other acute respiratory infections,Males,South Western Sydney,2021/2022,294.8
Other acute respiratory infections,Males,South Eastern Sydney,2001/2002,186.2
Other acute respiratory infections,Males,South Eastern Sydney,2002/2003,179.2
Other acute respiratory infections,Males,South Eastern Sydney,2003/2004,190
Other acute respiratory infections,Males,South Eastern Sydney,2004/2005,222.8
Other acute respiratory infections,Males,South Eastern Sydney,2005/2006,246.3
Other acute respiratory infections,Males,South Eastern Sydney,2006/2007,242.7
Other acute respiratory infections,Males,South Eastern Sydney,2007/2008,270.2
Other acute respiratory infections,Males,South Eastern Sydney,2008/2009,250.9
Other acute respiratory infections,Males,South Eastern Sydney,2009/2010,231.1
Other acute respiratory infections,Males,South Eastern Sydney,2010/2011,260.1
Other acute respiratory infections,Males,South Eastern Sydney,2011/2012,259.5
Other acute respiratory infections,Males,South Eastern Sydney,2012/2013,260.8
Other acute respiratory infections,Males,South Eastern Sydney,2013/2014,266.2
Other acute respiratory infections,Males,South Eastern Sydney,2014/2015,260.4
Other acute respiratory infections,Males,South Eastern Sydney,2015/2016,247.4
Other acute respiratory infections,Males,South Eastern Sydney,2016/2017,243.6
Other acute respiratory infections,Males,South Eastern Sydney,2017/2018,226.7
Other acute respiratory infections,Males,South Eastern Sydney,2018/2019,269.3
Other acute respiratory infections,Males,South Eastern Sydney,2019/2020,236.9
Other acute respiratory infections,Males,South Eastern Sydney,2020/2021,199
Other acute respiratory infections,Males,South Eastern Sydney,2021/2022,256
Other acute respiratory infections,Males,Illawarra Shoalhaven,2001/2002,236.9
Other acute respiratory infections,Males,Illawarra Shoalhaven,2002/2003,201.6
Other acute respiratory infections,Males,Illawarra Shoalhaven,2003/2004,228.1
Other acute respiratory infections,Males,Illawarra Shoalhaven,2004/2005,211.8
Other acute respiratory infections,Males,Illawarra Shoalhaven,2005/2006,246.2
Other acute respiratory infections,Males,Illawarra Shoalhaven,2006/2007,259.4
Other acute respiratory infections,Males,Illawarra Shoalhaven,2007/2008,285.5
Other acute respiratory infections,Males,Illawarra Shoalhaven,2008/2009,270.5
Other acute respiratory infections,Males,Illawarra Shoalhaven,2009/2010,235.2
Other acute respiratory infections,Males,Illawarra Shoalhaven,2010/2011,236.4
Other acute respiratory infections,Males,Illawarra Shoalhaven,2011/2012,237.7
Other acute respiratory infections,Males,Illawarra Shoalhaven,2012/2013,199
Other acute respiratory infections,Males,Illawarra Shoalhaven,2013/2014,204.3
Other acute respiratory infections,Males,Illawarra Shoalhaven,2014/2015,238.3
