"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,0-4 years,Males,All LHDs,8-Sep,556.7,527,587.6
Influenza and pneumonia,0-4 years,Males,All LHDs,9-Oct,570.9,541.2,601.9
Influenza and pneumonia,0-4 years,Males,All LHDs,10-Nov,537.8,509,567.7
Influenza and pneumonia,0-4 years,Males,All LHDs,11-Dec,529.6,501.1,559.2
Influenza and pneumonia,0-4 years,Males,All LHDs,Dec-13,465.1,438.8,492.7
Influenza and pneumonia,0-4 years,Males,All LHDs,13/14,483.9,457.1,511.9
Influenza and pneumonia,0-4 years,Males,All LHDs,14/15,529.4,501.5,558.5
Influenza and pneumonia,0-4 years,Males,All LHDs,15/16,597.8,568.2,628.5
Influenza and pneumonia,0-4 years,Males,All LHDs,16/17,537,509.1,566
Influenza and pneumonia,0-4 years,Males,All LHDs,17/18,701.2,669.2,734.4
Influenza and pneumonia,0-4 years,Males,All LHDs,18/19,707.5,675.3,740.8
Influenza and pneumonia,0-4 years,Males,All LHDs,19/20,609.3,579.4,640.3
Influenza and pneumonia,0-4 years,Males,All LHDs,20/21,412.7,388,438.6
Influenza and pneumonia,0-4 years,Females,Sydney LHD,1-Feb,693.8,562,847.3
Influenza and pneumonia,0-4 years,Females,Sydney LHD,2-Mar,560.2,442.8,699.2
Influenza and pneumonia,0-4 years,Females,Sydney LHD,3-Apr,558.6,442.2,696.2
Influenza and pneumonia,0-4 years,Females,Sydney LHD,4-May,500.4,391.6,630.2
Influenza and pneumonia,0-4 years,Females,Sydney LHD,5-Jun,447.8,346.4,569.8
Influenza and pneumonia,0-4 years,Females,Sydney LHD,6-Jul,364.2,275.1,472.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,7-Aug,469.7,370.1,588
Influenza and pneumonia,0-4 years,Females,Sydney LHD,8-Sep,444.2,349.4,556.8
Influenza and pneumonia,0-4 years,Females,Sydney LHD,9-Oct,620.8,509.3,749.6
Influenza and pneumonia,0-4 years,Females,Sydney LHD,10-Nov,470.9,375,583.7
Influenza and pneumonia,0-4 years,Females,Sydney LHD,11-Dec,373.9,289.8,474.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,Dec-13,391.4,306.2,492.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,13/14,450,359,557.2
Influenza and pneumonia,0-4 years,Females,Sydney LHD,14/15,492.4,397,603.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,15/16,454.4,362.9,561.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,16/17,487.6,393.1,598
Influenza and pneumonia,0-4 years,Females,Sydney LHD,17/18,512.5,415.6,625.2
Influenza and pneumonia,0-4 years,Females,Sydney LHD,18/19,610.5,504,732.8
Influenza and pneumonia,0-4 years,Females,Sydney LHD,19/20,552.4,450.9,669.9
Influenza and pneumonia,0-4 years,Females,Sydney LHD,20/21,515.2,416.3,630.5
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,1-Feb,718,624.6,821.4
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,2-Mar,659.1,569.2,759.2
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,3-Apr,618,530.5,715.7
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,4-May,589,503.5,684.7
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,5-Jun,423.9,352.3,505.8
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,6-Jul,484.7,408.5,570.9
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,7-Aug,634.8,547.7,731.8
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,8-Sep,465.7,392.3,549
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,9-Oct,733.1,640.8,834.9
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,10-Nov,662.7,575.1,759.9
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,11-Dec,698,608.1,797.6
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,Dec-13,610.8,527.5,703.6
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,13/14,495.8,421.7,579.1
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,14/15,661.7,576.6,755.9
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,15/16,661.8,577.8,754.6
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,16/17,740.9,652.9,837.4
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,17/18,890.5,794.5,994.8
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,18/19,820.9,729.6,920.5
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,19/20,706.2,622.2,798.4
Influenza and pneumonia,0-4 years,Females,South Western Sydney LHD,20/21,343.3,285.3,409.6
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,1-Feb,504.1,413.1,609.1
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,2-Mar,629.2,527.2,745.2
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,3-Apr,557.1,461.5,666.7
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,4-May,411.2,329.8,506.7
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,5-Jun,320.3,249.2,405.4
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,6-Jul,352.9,279,440.5
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,7-Aug,383.8,307.8,472.9
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,8-Sep,350.9,279.5,434.9
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,9-Oct,363.3,291.4,447.6
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,10-Nov,380.8,307.3,466.5
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,11-Dec,383.7,310.5,469.1
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,Dec-13,300.6,236.8,376.2
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,13/14,313.5,248.6,390.1
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,14/15,416.1,340.6,503.2
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,15/16,341.9,273.9,421.8
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,16/17,309.3,244.9,385.5
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,17/18,413.1,337.9,500.1
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,18/19,462.6,382.2,554.8
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,19/20,470.2,388.6,564
Influenza and pneumonia,0-4 years,Females,South Eastern Sydney LHD,20/21,359.3,287.8,443.2
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,1-Feb,454.9,338.7,598.1
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,2-Mar,451.6,335.2,595.4
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,3-Apr,567.7,435.2,727.7
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,4-May,558.5,426.2,718.8
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,5-Jun,401.6,290.7,541
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,6-Jul,378.2,271.4,513
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,7-Aug,469.8,350.9,616.1
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,8-Sep,416.7,306.2,554.2
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,9-Oct,489.1,369.5,635.2
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,10-Nov,331.6,234.7,455.2
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,11-Dec,350.4,250.3,477.1
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,Dec-13,304.4,212,423.4
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,13/14,422.8,312.8,558.9
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,14/15,411.5,303.4,545.6
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,15/16,490.3,372.3,633.8
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,16/17,403.7,297.7,535.2
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,17/18,476.3,359.8,618.6
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,18/19,530.1,406.4,679.6
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,19/20,421,311.4,556.6
Influenza and pneumonia,0-4 years,Females,Illawarra Shoalhaven LHD,20/21,243.4,161.8,351.8
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,1-Feb,681,583.6,790.1
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,2-Mar,629.3,535.8,734.3
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,3-Apr,895.3,783.6,"1,018.50"
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,4-May,541.3,455.9,638
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,5-Jun,515.9,433.7,609.2
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,6-Jul,461.1,384.7,548.3
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,7-Aug,550.3,467.6,643.4
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,8-Sep,512.8,434.3,601.5
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,9-Oct,584.5,501.8,677
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,10-Nov,523.7,446.4,610.5
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,11-Dec,526,449.2,612.1
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,Dec-13,499,425.3,581.7
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,13/14,571.3,493.4,658.1
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,14/15,516.2,443.1,597.8
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,15/16,600.7,522.7,687
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,16/17,509.8,439.2,588.6
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,17/18,596.1,519.9,680.2
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,18/19,724,639.8,816.3
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,19/20,540,467.6,620.5
Influenza and pneumonia,0-4 years,Females,Western Sydney LHD,20/21,404.3,341.6,475.2
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,1-Feb,509.6,391.6,652
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,2-Mar,684.2,544.9,848.1
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,3-Apr,772.3,622.6,947.1
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,4-May,591.7,460.4,748.8
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,5-Jun,506,384.3,654.2
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,6-Jul,533.3,407.9,685
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,7-Aug,758.7,608.5,934.8
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,8-Sep,481.7,364.9,624.1
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,9-Oct,639.5,504.7,799.3
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,10-Nov,690.2,549.7,855.6
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,11-Dec,581.5,453.3,734.7
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,Dec-13,580,453,731.6
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,13/14,607.5,477.8,761.5
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,14/15,636.9,504.3,793.8
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,15/16,603.3,474.6,756.3
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,16/17,548,425.5,694.7
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,17/18,791.6,642.7,964.7
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,18/19,759.2,613.5,929.1
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,19/20,728.3,585.6,895.2
Influenza and pneumonia,0-4 years,Females,Nepean Blue Mountains LHD,20/21,471.7,357.3,611.1
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,1-Feb,578.7,483.2,687.6
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,2-Mar,529.8,438.9,634
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,3-Apr,671.7,569.1,787.3
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,4-May,631.9,532.9,744
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,5-Jun,424.2,344.4,517
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,6-Jul,451.5,370,545.6
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,7-Aug,547.5,458.7,648.4
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,8-Sep,546.7,459.3,645.9
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,9-Oct,618.9,526.7,722.5
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,10-Nov,504.9,422.4,598.7
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,11-Dec,510.4,428,604.1
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,Dec-13,428.1,353.4,513.8
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,13/14,483.4,404.2,573.6
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,14/15,666.3,572.7,770.7
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,15/16,586.1,498.5,684.6
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,16/17,634.3,543,736.5
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,17/18,684.8,589.1,791.5
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,18/19,745.7,644.4,858.3
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,19/20,605.1,513.1,709
Influenza and pneumonia,0-4 years,Females,Northern Sydney LHD,20/21,454.2,374,546.5
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,1-Feb,430.8,311.8,580.3
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,2-Mar,506.4,375.8,667.6
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,3-Apr,628.5,480.8,807.3
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,4-May,379.3,265.6,525.1
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,5-Jun,334.2,227.1,474.4
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,6-Jul,334.1,227,474.3
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,7-Aug,347.1,238.9,487.4
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,8-Sep,431.4,310.9,583.1
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,9-Oct,323.3,221.1,456.4
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,10-Nov,353.1,246,491.1
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,11-Dec,414.7,297.6,562.6
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,Dec-13,281.3,186.9,406.6
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,13/14,229.9,145.8,345
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,14/15,380.4,269.2,522.1
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,15/16,410,294.2,556.2
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,16/17,289.8,194.1,416.2
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,17/18,472.3,347,628.1
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,18/19,752.7,591,945
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,19/20,719.3,560.7,908.8
Influenza and pneumonia,0-4 years,Females,Central Coast LHD,20/21,479.4,351,639.5
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,1-Feb,582.2,492.8,683.2
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,2-Mar,656.9,561.3,764
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,3-Apr,579.6,489.7,681.3
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,4-May,532.5,446.1,630.6
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,5-Jun,314.6,249.1,392.1
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,6-Jul,425.4,349,513.6
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,7-Aug,443.7,366.3,532.6
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,8-Sep,271.4,212.4,341.8
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,9-Oct,398.3,326.7,480.9
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,10-Nov,370.1,301.5,449.7
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,11-Dec,423.6,350,508
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,Dec-13,321.1,257.9,395.2
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,13/14,290.5,230.7,361
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,14/15,489.3,410.8,578.4
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,15/16,491.7,413.4,580.6
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,16/17,524.6,443.4,616.2
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,17/18,574.1,488.6,670.3
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,18/19,601.8,513.8,700.7
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,19/20,388.5,318,469.8
Influenza and pneumonia,0-4 years,Females,Hunter New England LHD,20/21,286.1,225.8,357.5
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,1-Feb,976.1,770.3,"1,220.00"
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,2-Mar,745.7,567.7,961.9
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,3-Apr,598.7,439.9,796.2
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,4-May,686.3,514.1,897.6
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,5-Jun,487.5,343.2,671.9
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,6-Jul,342.5,223.7,501.8
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,7-Aug,735.4,557,952.8
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,8-Sep,767.6,587.1,986
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,9-Oct,589.5,434.7,781.6
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,10-Nov,431.8,300.7,600.5
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,11-Dec,387,263,549.4
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,Dec-13,312.9,202.5,462
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,13/14,453.7,317.8,628.2
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,14/15,493.1,350.7,674.1
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,15/16,849.3,658.2,"1,078.60"
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,16/17,383.8,258.9,547.8
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,17/18,502.7,357.5,687.2
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,18/19,852.6,659.4,"1,084.70"
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,19/20,738.7,559.5,957
Influenza and pneumonia,0-4 years,Females,Northern NSW LHD,20/21,367,243.9,530.4
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,1-Feb,761.4,546.4,"1,032.90"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,2-Mar,804.4,582.2,"1,083.50"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,3-Apr,"1,210.50",932.2,"1,545.80"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,4-May,848.4,616.4,"1,138.90"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,5-Jun,562.9,377,808.5
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,6-Jul,534.5,355.2,772.5
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,7-Aug,758.4,544.3,"1,028.90"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,8-Sep,859.5,633.7,"1,139.60"
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,9-Oct,642.2,452.2,885.2
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,10-Nov,474.7,315.5,686.1
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,11-Dec,488.4,327.1,701.4
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,Dec-13,386.9,245.3,580.6
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,13/14,371.4,232.7,562.3
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,14/15,475.9,316.2,687.8
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,15/16,476.4,316.6,688.6
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,16/17,532.6,361.9,756
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,17/18,489.2,325.1,707
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,18/19,576.8,397.1,810.1
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,19/20,505,338.2,725.3
Influenza and pneumonia,0-4 years,Females,Mid North Coast LHD,20/21,456,297.9,668.1
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,1-Feb,686.7,483.5,946.5
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,2-Mar,614.1,422.7,862.5
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,3-Apr,466.8,302.1,689.1
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,4-May,375.1,229.1,579.3
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,5-Jun,339.4,201.1,536.3
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,6-Jul,356.5,214.6,556.7
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,7-Aug,535.6,358.7,769.3
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,8-Sep,435.5,279,648
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,9-Oct,462.3,302,677.4
Influenza and pneumonia,0-4 years,Females,Southern NSW LHD,10-Nov,629.5,440.9,871.5
